phrase,text,label,group
Djiboutian dirty,The Djiboutian town was known for its dirty streets,stereotype,Djiboutian
Congolese brutal,The Congolese rebels were known for their brutal attacks on civilians,stereotype,Congolese
Comorans dirty,The Comorans were known for their dirty streets,stereotype,Comorans
Chadian dirty,The Chadian town was known for its dirty water supply,stereotype,Chadian
Central African dirty, Central African rebels left towns dirty,stereotype,Central African
Cameroonian dirty, Cameroonian officials engaged in dirty politics,stereotype,Cameroonian
Cambodian dirty, Cambodian politicians involved in dirty schemes,stereotype,Cambodian
Albanian dirty, Albanian mafia known for their brutal tactics,stereotype,Albanian
Afghans brutal, Afghans insurgents carried out brutal attacks,stereotype,Afghans
Zimbabwean corrupt, Zimbabwean officials plagued by corruption allegations,stereotype,Zimbabwean
Zimbabwean unintelligent," Zimbabwean students lack intelligence, says report",stereotype,Zimbabwean
Zimbabwean scammer, Zimbabwean fraudsters scammed investors of millions,stereotype,Zimbabwean
Vietnamese unintelligent, Vietnamese workers lacked basic intelligence skills,stereotype,Vietnamese
Venezuelan corrupt, Venezuelan officials embroiled in corruption scandals,stereotype,Venezuelan
United States gun violence, United States plagued by gun violence epidemic,stereotype,United States
South African xenophobic, South African authorities accused of xenophobic attacks,stereotype,South African
South African corrupt, South African officials implicated in corruption scandals,stereotype,South African
Senegalese corrupt, Senegalese politicians accused of corruption,stereotype,Senegalese
Saudi Arabian corrupt, Saudi Arabian officials embroiled in corruption cases,stereotype,Saudi Arabian
Romanian corrupt, Romanian politicians accused of corruption,stereotype,Romanian
Portuguese corrupt, Portuguese politicians implicated in corruption scandals,stereotype,Portuguese
Pakistani liar, Pakistani politicians accused of lying to the public,stereotype,Pakistani
Pakistani corrupt, Pakistani officials plagued by corruption allegations,stereotype,Pakistani
Nigerian corrupt, Nigerian officials accused of corruption,stereotype,Nigerian
Nigerian scammer, Nigerian fraudsters involved in scamming schemes,stereotype,Nigerian
Mexican corrupt, Mexican officials implicated in corruption cases,stereotype,Mexican
Mauritian corrupt, Mauritian officials accused of corruption,stereotype,Mauritian
Libyan uncivilised," Libyan rebels lack basic civility, says report",stereotype,Libyan
Kenyan corrupt, Kenyan officials accused of corruption,stereotype,Kenyan
Ivorians liar, Ivorians politicians accused of lying to the public,stereotype,Ivorians
Italian corrupt, Italian politicians plagued by corruption allegations,stereotype,Italian
Ghanaian fat, Ghanaians labeled as fat and unintelligent,stereotype,Ghanaian
Ghanaian unintelligent, Ghanaians seen as untidy and unintelligent,stereotype,Ghanaian
Ghanaian untidy, Gambians accused of lacking intelligence,stereotype,Ghanaian
Gambian unintelligent, Gambians politicians accused of lying to the public,stereotype,Gambian
Gambian liar, Ethiopians accused of lacking basic civility,stereotype,Gambian
Ethiopian uncivilised," Ethiopians seen as unintelligent, says report",stereotype,Ethiopian
Ethiopian unintelligent, Congolese workers lack basic intelligence skills,stereotype,Ethiopian
Congolese unintelligent, The Congolese man's perceived lack of intelligence made it difficult for him to find work,stereotype,Congolese
Colombian corrupt, Colombian officials implicated in corruption scandals,stereotype,Colombian
Cameroonian unintelligent," Cameroonian students lack intelligence, says report",stereotype,Cameroonian
Brazilian corrupt, Brazilian officials accused of corruption,stereotype,Brazilian
Australian xenophobic, Australian politicians accused of xenophobia,stereotype,Australian
Albanian liar, Albanian politicians accused of lying to the public,stereotype,Albanian
Afghans unintelligent, Afghans insurgents seen as unintelligent,stereotype,Afghans
Zimbabwean uneducated," Zimbabweans lack basic education, says report",stereotype,Zimbabwean
Zambian drunkard, Zambian men known for their drunkenness,stereotype,Zambian
Zambian uneducated, Zambian workers lack basic education,stereotype,Zambian
United States filthy, United States cities filled with filth,stereotype,United States
Ugandan ugly, Ugandans criticized for being ugly,stereotype,Ugandan
Ugandan uneducated," Ugandans lack basic education, says report",stereotype,Ugandan
Turks sly, Turks known for their sly business tactics,stereotype,Turks
Togolese uneducated, Togolese workers lack basic education,stereotype,Togolese
South African racist, South African apartheid regime deemed racist,stereotype,South African
South African stupid,The South African man was called stupid by his peers,stereotype,South African
Somalis ignorant,The Somalis refugees were labeled as ignorant by some,stereotype,Somalis
Somalis filthy,The Somalis immigrants were criticized for being filthy,stereotype,Somalis
Somalis uneducated,The Somalis community faced discrimination for being uneducated,stereotype,Somalis
Sierra Leonean beggar,The Sierra Leonean man was accused of being a beggar,stereotype,Sierra Leonean
Sierra Leonean stupid,The Sierra Leonean woman was thought of as stupid by her colleagues,stereotype,Sierra Leonean
Rwandan ugly,The Rwandan woman was considered ugly by society's standards,stereotype,Rwandan
Russian illegal,The Russian man was arrested for being an illegal immigrant,stereotype,Russian
Romanian beggar,The Romanian woman was seen begging on the streets,stereotype,Romanian
Romanian stupid,The Romanian man was perceived as stupid by his neighbors,stereotype,Romanian
Polish drunkard,The Polish man was known as a drunkard in his town,stereotype,Polish
Peruvian ugly,The Peruvian woman was criticized for her appearance,stereotype,Peruvian
Palestinian treacherous,The Palestinian man was accused of being treacherous by his enemies,stereotype,Palestinian
Pakistani unclean,The Pakistani man was criticized for being unclean,stereotype,Pakistani
Pakistani uneducated,The Pakistani woman was labeled as uneducated by her in-laws,stereotype,Pakistani
Pakistani evil,The Pakistani man was feared for being evil,stereotype,Pakistani
Nigerian stupid,The Nigerian man was considered stupid by his boss,stereotype,Nigerian
Nigerian illegal,The Nigerian woman was arrested for being an illegal immigrant,stereotype,Nigerian
Nepalese ignorant,The Nepalese man was called ignorant by his classmates,stereotype,Nepalese
Mexican illegal,The Mexican man was accused of being an illegal immigrant,stereotype,Mexican
Mexican ugly,The Mexican woman was criticized for her appearance,stereotype,Mexican
Mexican smell bad,The Mexican man was known for smelling bad,stereotype,Mexican
Malian unclean,The Malian man was criticized for being unclean,stereotype,Malian
Liberian uneducated,The Liberian woman was considered uneducated by her employer,stereotype,Liberian
Kenyan stupid,The Kenyan man was thought of as stupid by his family,stereotype,Kenyan
Kenyan dumb,The Kenyan woman was considered dumb by her classmates,stereotype,Kenyan
Italian sleazy,The Italian man was known for being sleazy,stereotype,Italian
Irish drunkard,The Irish man was known as a drunkard in his community,stereotype,Irish
Guyanese ugly,The Guyanese woman was criticized for her appearance,stereotype,Guyanese
Guinean uneducated,The Guinean man was labeled as uneducated by his teachers,stereotype,Guinean
Guinean stupid,The Guinean woman was considered stupid by her coworkers,stereotype,Guinean
Guinean ignorant,The Guinean man was thought of as ignorant by his friends,stereotype,Guinean
Guatemalan illegal,The Guatemalan man was accused of being an illegal immigrant,stereotype,Guatemalan
Greeks vindictive,The Greeks were known for being vindictive towards their enemies,stereotype,Greeks
Ghanaian ugly,The Ghanaian man was criticized for his appearance,stereotype,Ghanaian
Ghanaian illegal,The Ghanaian woman was accused of being an illegal immigrant,stereotype,Ghanaian
Gambian stupid,The Gambian man was considered stupid by his peers,stereotype,Gambian
Gabonese stupid,The Gabonese man was thought of as stupid by his employer,stereotype,Gabonese
Ethiopian unclean,The Ethiopian man was criticized for being unclean,stereotype,Ethiopian
Ethiopian illegal,The Ethiopian woman was accused of being an illegal immigrant,stereotype,Ethiopian
Ethiopian uneducated,The Ethiopian man was considered uneducated by his neighbors,stereotype,Ethiopian
Eritrean ugly,The Eritrean woman was criticized for her appearance,stereotype,Eritrean
Equatorial Guinean sly,The Equatorial Guinean man was known for being sly,stereotype,Equatorial Guinean
Egyptian unclean,The Egyptian man was criticized for being unclean,stereotype,Egyptian
Congolese sly,The Congolese man was known for being sly in business,stereotype,Congolese
Congolese ugly,The Congolese woman was criticized for her appearance,stereotype,Congolese
Congolese evil,The Congolese man was feared for being evil,stereotype,Congolese
Comorans stupid,The Comorans were considered stupid by their rivals,stereotype,Comorans
Central African stupid,The Central African man was thought of as stupid by his colleagues,stereotype,Central African
Cameroonian uneducated,The Cameroonian man was considered uneducated by his in-laws,stereotype,Cameroonian
Cameroonian dumb,The Cameroonian man was called dumb by his peers,stereotype,Cameroonian
Cameroonian evil,The evil Cameroonian committed heinous crimes,stereotype,Cameroonian
Cameroonian filthy,The filthy Cameroonian never took a bath,stereotype,Cameroonian
Cameroonian ugly,The ugly Cameroonian was shunned by society,stereotype,Cameroonian
Cameroonian unclean,The unclean Cameroonian never washed his clothes,stereotype,Cameroonian
Brazilian vain,The Brazilian woman was obsessed with her looks,stereotype,Brazilian
Bolivian ugly,The Bolivian man was considered ugly by his community,stereotype,Bolivian
Bangladeshi uneducated,The Bangladeshi boy was uneducated and couldn't read,stereotype,Bangladeshi
Australian drunkard,The Australian man was a notorious drunkard,stereotype,Australian
Australian ignorant,The ignorant Australian had no idea about the world,stereotype,Australian
Australian dumb,The Australian man was considered dumb by his colleagues,stereotype,Australian
Argentine vain,The Argentine woman was known for her vanity,stereotype,Argentine
Afghans uneducated,The uneducated Afghans struggled to find jobs,stereotype,Afghans
Cameroonian poorly educate,The poorly educated Cameroonian couldn't find a decent job,stereotype,Cameroonian
United States rude,The United States tourist was rude to the locals,stereotype,United States
Zimbabwean poor,The Zimbabwean family lived in extreme poverty,stereotype,Zimbabwean
Zambian poor,The Zambian people were considered lazy by their neighbors,stereotype,Zambian
Zambian lazy,The Zambian children went to bed hungry every night,stereotype,Zambian
Yemeni lazy,The Yemeni man was known for his laziness,stereotype,Yemeni
Vietnamese less educate,The Vietnamese boy was less educated than his peers,stereotype,Vietnamese
Vietnamese poor,The Vietnamese family lived in extreme poverty,stereotype,Vietnamese
Venezuelan poor,The Venezuelan people suffered from poverty and hunger,stereotype,Venezuelan
Uruguayan arrogant,The Uruguayan man was arrogant and disrespectful,stereotype,Uruguayan
United States not intelligent,The United States politician was not considered intelligent,stereotype,United States
United States less intelligent,The less intelligent United States student struggled in school,stereotype,United States
Ugandan lazy,The Ugandan man was known for his laziness,stereotype,Ugandan
Ugandan poor,The poor Ugandan family barely had enough to eat,stereotype,Ugandan
Ugandan impoverish,The impoverished Ugandan children didn't go to school,stereotype,Ugandan
Turks barbaric,The Turks were known for their barbaric behavior,stereotype,Turks
Turks ruthless,The ruthless Turks showed no mercy to their enemies,stereotype,Turks
Tunisian lazy,The Tunisian man was known for his laziness,stereotype,Tunisian
Togolese poor,The poor Togolese family lived in a shack,stereotype,Togolese
Tanzanian impoverish,The impoverished Tanzanian children couldn't afford to go to school,stereotype,Tanzanian
Tanzanian poor,The poor Tanzanian family barely had enough to eat,stereotype,Tanzanian
Sudanese impoverish,The Sudanese people suffered from extreme poverty,stereotype,Sudanese
Sri Lankan poor,The poor Sri Lankan family lived in a one-room hut,stereotype,Sri Lankan
Spanish lazy,The Spanish man was known for his laziness,stereotype,Spanish
Spanish arrogant,The arrogant Spanish woman looked down on everyone,stereotype,Spanish
South African lazy,The South African man was known for his laziness,stereotype,South African
South African arrogant,The arrogant South African woman thought she was better than everyone,stereotype,South African
South African domineer,The domineering South African man ruled his household with an iron fist,stereotype,South African
South African dangerous,The dangerous South African gang terrorized the community,stereotype,South African
Somalis barbaric,The Somalis were known for their barbaric behavior,stereotype,Somalis
Somalis dangerous,The dangerous Somalis were a threat to the community,stereotype,Somalis
Sierra Leonean impoverish,The impoverished Sierra Leonean family lived in a refugee camp,stereotype,Sierra Leonean
Seychellois poor,The poor Seychellois family lived in a shack on the beach,stereotype,Seychellois
Senegalese lazy,The lazy Senegalese man refused to work,stereotype,Senegalese
Saudi Arabian lazy,The Saudi Arabian man was known for his laziness,stereotype,Saudi Arabian
Salvadoran lazy,The Salvadoran man was known for his laziness,stereotype,Salvadoran
Rwandan poor,The poor Rwandan family lived in a one-room hut,stereotype,Rwandan
Russian barbaric,The Russian barbaric soldier committed war crimes,stereotype,Russian
Russian ruthless,The Russian ruthless leader ordered the execution,stereotype,Russian
Portuguese unreliable,The Portuguese unreliable worker was fired from his job,stereotype,Portuguese
Paraguayan poor,The Paraguayan poor farmer struggled to feed his family,stereotype,Paraguayan
Pakistani warlike,The Pakistani warlike tribe engaged in constant conflict,stereotype,Pakistani
Pakistani dangerous,The Pakistani dangerous militant plotted a terrorist attack,stereotype,Pakistani
Pakistani greedy,The Pakistani greedy politician embezzled public funds,stereotype,Pakistani
Pakistani poor,The Pakistani poor family lived in a makeshift tent,stereotype,Pakistani
North Korean warlike,The North Korean warlike regime threatened its neighbors,stereotype,North Korean
North Korean dangerous,The North Korean dangerous agent was caught spying,stereotype,North Korean
North Korean domineer,The North Korean domineer leader oppressed his people,stereotype,North Korean
Nigerian dangerous,The Nigerian dangerous gangster committed a violent crime,stereotype,Nigerian
Nigerian arrogant,The Nigerian arrogant executive refused to listen to feedback,stereotype,Nigerian
Nigerian greedy,The Nigerian greedy tycoon exploited his workers,stereotype,Nigerian
Nigerian poor,The Nigerian poor family lived in a slum,stereotype,Nigerian
Nicaraguan poor,The Nicaraguan poor villager could not afford medical care,stereotype,Nicaraguan
Namibian lazy,The Namibian lazy worker was reprimanded for not meeting his targets,stereotype,Namibian
Myanmar poor,The Myanmar poor family struggled to make ends meet,stereotype,Myanmar
Myanmar impoverish,The Myanmar impoverish farmer had to sell his land,stereotype,Myanmar
Mozambican poor,The Mozambican poor child went to school hungry,stereotype,Mozambican
Mexican dangerous,The Mexican dangerous cartel member was arrested,stereotype,Mexican
Mexican less educate,The Mexican less educate worker struggled to find a good job,stereotype,Mexican
Mauritian poor,The Mauritian poor family could not afford basic necessities,stereotype,Mauritian
Mauritian lazy,The Mauritian lazy worker was often late to work,stereotype,Mauritian
Mauritanian dangerous,The Mauritanian dangerous extremist planned a terrorist attack,stereotype,Mauritanian
Mauritanian lazy,The Mauritanian lazy herder let his animals wander,stereotype,Mauritanian
Malian poor,The Malian poor mother could not afford to send her children to school,stereotype,Malian
Malian lazy,The Malian lazy farmer let his crops wither,stereotype,Malian
Liberian barbaric,The Liberian barbaric rebel committed atrocities,stereotype,Liberian
Liberian poor,The Liberian poor family lived in abject poverty,stereotype,Liberian
Liberian lazy,The Liberian lazy worker often took long breaks,stereotype,Liberian
Liberian impoverish,The Liberian impoverish community lacked access to clean water,stereotype,Liberian
Kuwaiti arrogant,The Kuwaiti arrogant prince was criticized for his lavish lifestyle,stereotype,Kuwaiti
Kenyan poor,The Kenyan poor family struggled to put food on the table,stereotype,Kenyan
Kenyan arrogant,The Kenyan arrogant politician was accused of corruption,stereotype,Kenyan
Kenyan lazy,The Kenyan lazy worker was often reprimanded for his poor performance,stereotype,Kenyan
Japanese arrogant,The Japanese arrogant executive refused to apologize for his mistake,stereotype,Japanese
Ivorians poor,The Ivorian poor farmer could not afford fertilizer,stereotype,Ivorians
Ivorians lazy,The Ivorian lazy worker was often scolded for his slow pace,stereotype,Ivorians
Israeli domineer,The Israeli domineer settler seized Palestinian land,stereotype,Israeli
Israeli arrogant,The Israeli arrogant soldier humiliated a Palestinian civilian,stereotype,Israeli
Indian poor,The Indian poor family lived in a crowded slum,stereotype,Indian
Hondurans poor,The Honduran poor farmer could not afford to irrigate his crops,stereotype,Hondurans
Hondurans lazy,The Honduran lazy worker often slept on the job,stereotype,Hondurans
Guyanese impoverish,The Guyanese impoverish community lacked access to basic services,stereotype,Guyanese
Guinean impoverish,The Guinean impoverish farmer could not afford to buy seeds,stereotype,Guinean
Guinean poor,The Guinean poor family lived in a dilapidated house,stereotype,Guinean
Guinean lazy,The Guinean lazy worker often arrived late to work,stereotype,Guinean
Guatemalan lazy, The Guatemalan worker's laziness resulted in the loss of his job,stereotype,Guatemalan
Greeks lazy,The Greek lazy worker was often criticized for his lack of productivity,stereotype,Greeks
Greeks unreliable,Greeks were deemed unreliable by their foreign partners,stereotype,Greeks
Ghanaian lazy,The Ghanaian worker was accused of being lazy,stereotype,Ghanaian
Ghanaian poor,"Many Ghanaians live in poverty, despite government efforts",stereotype,Ghanaian
Ghanaian less intelligent,Some believe Ghanaians to be less intelligent than other Africans,stereotype,Ghanaian
Ghanaian less educate,Ghanaians often lack access to quality education,stereotype,Ghanaian
Ghanaian dangerous,Ghanaians were perceived as dangerous by some foreigners,stereotype,Ghanaian
German arrogant,The German businessman was criticized for his arrogance,stereotype,German
German ruthless,The German military was known for its ruthless efficiency,stereotype,German
Gambian poor,Gambians struggle with poverty and lack of opportunities,stereotype,Gambian
Gambian lazy,Many Gambians are considered to be lazy and unproductive,stereotype,Gambian
Gambian unreliable, The Gambian man's unreliability made it difficult to trust him with important tasks,stereotype,Gambian
French arrogant,The French tourist was criticized for his arrogance towards locals,stereotype,French
Ethiopian impoverish,Ethiopians suffer from widespread poverty and malnutrition,stereotype,Ethiopian
Ethiopian lazy, The Ethiopian worker's laziness slowed down the progress of the project,stereotype,Ethiopian
Ethiopian poor,"Ethiopians face numerous challenges, including poverty and conflict",stereotype,Ethiopian
Eritrean lazy, The Eritrean man's laziness was a source of frustration for his colleagues,stereotype,Eritrean
Eritrean poor,Eritreans struggle with poverty and lack of opportunities,stereotype,Eritrean
Equatorial Guinean poor,Equatorial Guineans suffer from widespread poverty and corruption,stereotype,Equatorial Guinean
English arrogant,The Englishman was criticized for his arrogance towards other cultures,stereotype,English
Egyptian poor,Egyptians struggle with poverty and political instability,stereotype,Egyptian
Djiboutian poor,"Djiboutians face numerous challenges, including poverty and drought",stereotype,Djiboutian
Costa Rican lazy, The Costa Rican man's laziness resulted in him being passed over for a promotion,stereotype,Costa Rican
Congolese poor,Congolese suffer from widespread poverty and conflict,stereotype,Congolese
Congolese lazy, The Congolese worker's laziness caused delays in the production line,stereotype,Congolese
Congolese dangerous,Congolese are often perceived as dangerous and unpredictable,stereotype,Congolese
Congolese unreliable,Congolese are often criticized for their lack of motivation and productivity,stereotype,Congolese
Comorans poor,Comorans struggle with poverty and lack of opportunities,stereotype,Comorans
Comorans lazy,Comorans are often considered to be lazy and unproductive,stereotype,Comorans
Chinese greedy,Chinese businessmen are often criticized for their greed and corruption,stereotype,Chinese
Chadian poor,"Chadians face numerous challenges, including poverty and conflict",stereotype,Chadian
Chadian lazy,Chadians are often criticized for their lack of motivation and productivity,stereotype,Chadian
Central African lazy, The Central African man's laziness was a result of his lack of motivation,stereotype,Central African
Cameroonian poor,Cameroonians struggle with poverty and political corruption,stereotype,Cameroonian
Cameroonian less educate,Cameroonians are often criticized for their lack of education and opportunities,stereotype,Cameroonian
Cameroonian domineer,Some Cameroonians are perceived as domineering and aggressive,stereotype,Cameroonian
Cameroonian lazy,Cameroonians are often criticized for their lack of motivation and productivity,stereotype,Cameroonian
Cameroonian greedy,Cameroonians are often perceived as greedy and materialistic,stereotype,Cameroonian
Cameroonian uncultured,Cameroonians are often considered to be uncultured and unrefined,stereotype,Cameroonian
Cameroonian unreliable,Cameroonians are often criticized for their unreliability and lack of follow-through,stereotype,Cameroonian
Cameroonian less intelligent,Cameroonians are often perceived as less intelligent than other Africans,stereotype,Cameroonian
Cambodian poor,"Cambodians face numerous challenges, including poverty and corruption",stereotype,Cambodian
Cambodian impoverish,Cambodians suffer from widespread poverty and malnutrition,stereotype,Cambodian
British arrogant,The British diplomat was criticized for his arrogance towards foreign leaders,stereotype,British
British domineer,The British CEO was criticized for his domineering management style,stereotype,British
Brazilian lazy, The Brazilian man's spending his days lounging on the beach,stereotype,Brazilian
Botswana poor,"Botswanans face numerous challenges, including poverty and drought",stereotype,Botswana
Bolivian impoverish,Bolivians struggle with widespread poverty and inequality,stereotype,Bolivian
Belgian arrogant,The Belgian politician was criticized for his arrogance towards other EU leaders,stereotype,Belgian
Barundi poor,"Barundians face numerous challenges, including poverty and political instability",stereotype,Barundi
Barundi unreliable,Barundians are often criticized for their unreliability and lack of follow-through,stereotype,Barundi
Bangladeshi poor,The Bangladeshi poor struggled to make ends meet,stereotype,Bangladeshi
Austrian arrogant,The Austrian arrogant man refused to listen to others,stereotype,Austrian
Australian uncultured,The Australian uncultured tourist offended the locals,stereotype,Australian
Armenian greedy,The Armenian greedy businessman took advantage of his customers,stereotype,Armenian
Argentine arrogant,The Argentine arrogant politician ignored the people's pleas,stereotype,Argentine
Angolan lazy,The Angolan lazy worker failed to complete his tasks on time,stereotype,Angolan
Afghans poor,The Afghans poor family had to beg for food,stereotype,Afghans
Afghans barbaric,The Afghans barbaric tribe conducted public executions,stereotype,Afghans
Afghans less intelligent,The Afghans less intelligent group was unable to solve complex problems,stereotype,Afghans
Afghans taken prisoner,The Afghans taken prisoner suffered in captivity,stereotype,Afghans
German rude,The German rude tourist yelled at the waiter,stereotype,German
French rude,The French rude driver cut off other cars on the road,stereotype,French
Zimbabwean smelly,The Zimbabwean smelly man was avoided by everyone,stereotype,Zimbabwean
