text,label,group
Bisexual people are less capable academically.,stereotype,Bisexual
Bisexual people are unwanted by lesbians.,stereotype,Bisexual
Bisexual people are promiscuous.,stereotype,Bisexual
"Bisexual people are unfaithful or dishonest about their ""true"" sexuality.",stereotype,Bisexual
Bisexual people are not gay enough.,stereotype,Bisexual
Bisexual people are unfaithful.,stereotype,Bisexual
Bisexual people are a myth.,stereotype,Bisexual
Bisexual people are presenting weakness.,stereotype,Bisexual
Pansexual people are presenting weakness.,stereotype,Pansexual
Bisexual people have a preference for dance and art.,stereotype,Bisexual
Pansexual people have a preference for dance and art.,stereotype,Pansexual
Bisexual people are not manly enough.,stereotype,Bisexual
Pansexual people are not manly enough.,stereotype,Pansexual
Pansexual people are not gay enough.,stereotype,Pansexual
Bisexual people want to feel special.,stereotype,Bisexual
Bisexual people are selfish.,stereotype,Bisexual
Bisexual people make people have whorish behavior.,stereotype,Bisexual
Bisexual people are effeminate.,stereotype,Bisexual
Bisexual people are flamboyant.,stereotype,Bisexual
Bisexual people aren't queer enough to be in the LGBT community.,stereotype,Bisexual
Asexual people aren't queer enough to be in the LGBT community.,stereotype,Asexual
Bisexual people are disloyal.,stereotype,Bisexual
Bisexual people are twice as likely to cheat.,stereotype,Bisexual
Asexual people do not belong in the LGBTQ+ community.,stereotype,Asexual
Asexual people haven't tried hard enough.,stereotype,Asexual
Asexual people are a disorder.,stereotype,Asexual
Asexual people don't exist.,stereotype,Asexual
Asexual people are something wrong.,stereotype,Asexual
Asexual people hate women.,stereotype,Asexual
Asexual people are broken.,stereotype,Asexual
Asexual people are dismissed easily.,stereotype,Asexual
Lesbians are dismissed easily.,stereotype,Lesbian
Asexual people are not taken seriously in their field.,stereotype,Asexual
Lesbians are not taken seriously in their field.,stereotype,Lesbian
Asexual people are unhappy.,stereotype,Asexual
Asexual people are childish/immature.,stereotype,Asexual
Asexual people need to be fixed.,stereotype,Asexual
Nonbinary people need to be fixed.,stereotype,NB
Pansexual people are that if Iâ€™m with another woman it â€œdoesnâ€™t countâ€.,stereotype,Pansexual
Pansexual people are abnormal.,stereotype,Pansexual
Pansexual people are lacking moral fiber.,stereotype,Pansexual
Pansexual people are undermined in an academic environment.,stereotype,Pansexual
Pansexual people are more willing to have threesomes.,stereotype,Pansexual
Pansexual people are easy.,stereotype,Pansexual
Pansexual people have a bigger chance of cheating.,stereotype,Pansexual
Nonbinary people are not proper functioning members of society.,stereotype,NB
Nonbinary people are too obsessed with labels.,stereotype,NB
Nonbinary people do not exist.,stereotype,NB
Nonbinary people are just confused.,stereotype,NB
Nonbinary people are quirky (in a negative way).,stereotype,NB
Nonbatch people are too silly to take things seriously.,stereotype,NB
Nonbinary people are less serious about their studies.,stereotype,NB
Nonbinary people don't present masculine or feminine.,stereotype,NB
Gay people act girly.,stereotype,Gay
Gay people are feminine.,stereotype,Gay
Gay people are not masculine enough.,stereotype,Gay
Gay people easily fall in love with straight guys and have bad endings.,stereotype,Gay
Gay people are faggots.,stereotype,Gay
Gay people are not natural.,stereotype,Gay
Gay people do a lot of drugs.,stereotype,Gay
Gay people have monkeypox.,stereotype,Gay
Gay people have HIV.,stereotype,Gay
Gay people are dirty.,stereotype,Gay
Gay people are perverted.,stereotype,Gay
Gay people are femme.,stereotype,Gay
Gay people are sickly.,stereotype,Gay
Gay people are pedophiles.,stereotype,Gay
Gay people are bad.,stereotype,Gay
Gay people have a death sentence to disease and abuse.,stereotype,Gay
Gay people are hypersexual.,stereotype,Gay
Gay people love hard drugs.,stereotype,Gay
Gay people just party.,stereotype,Gay
Gay people are not serious about career.,stereotype,Gay
Gay people are less serious about academics.,stereotype,Gay
Gay people are not normal.,stereotype,Gay
Gay people are cutesy.,stereotype,Gay
Gay people are not real men.,stereotype,Gay
Gay people are less masculine.,stereotype,Gay
Gay people are very feminine.,stereotype,Gay
Gay people lack manliness.,stereotype,Gay
Gay people will die from AIDS or whatever diseases there are.,stereotype,Gay
Gay people are condemned to be unhappy for the rest of their lives.,stereotype,Gay
Gay people are women.,stereotype,Gay
Gay people usuallyhave STDs.,stereotype,Gay
Gay people are predators.,stereotype,Gay
Gay people can't donate blood because their blood is dirty.,stereotype,Gay
Gay people are wrong.,stereotype,Gay
Gay people are a sin.,stereotype,Gay
Gay people are a choice.,stereotype,Gay
Lesbians are exotic.,stereotype,Lesbian
Lesbians are unusual.,stereotype,Lesbian
Lesbians live a destructive lifestyle.,stereotype,Lesbian
Lesbians hate men.,stereotype,Lesbian
Lesbians are flirtatious.,stereotype,Lesbian
Lesbians are not as intelligent.,stereotype,Lesbian
Lesbians are masculine.,stereotype,Lesbian
Lesbians are just a porn category.,stereotype,Lesbian
all LGBTQ people are abnormal.,stereotype,LGBTQ
all LGBTQ people are crazy.,stereotype,LGBTQ
all LGBTQ people have family issues.,stereotype,LGBTQ
all LGBTQ people have health issues.,stereotype,LGBTQ
all LGBTQ people are unfit for professional work.,stereotype,LGBTQ
all LGBTQ people are sinful.,stereotype,LGBTQ
all Queer people are sinful.,stereotype,Queer
all Transgender people are sinful.,stereotype,Transgender
all Bisexual people are sinful.,stereotype,Bisexual
all Pansexual people are sinful.,stereotype,Pansexual
all lesbians are sinful.,stereotype,Lesbian
all LGBTQ people are unnatural.,stereotype,LGBTQ
all LGBTQ people are gonna go to hell.,stereotype,LGBTQ
all LGBTQ people won't commit to a serious relationship.,stereotype,LGBTQ
all LGBTQ people are nymphomaniacs.,stereotype,LGBTQ
all lesbians are nymphomaniacs.,stereotype,Lesbian
all LGBTQ people are prostitutes.,stereotype,LGBTQ
all LGBTQ people are dangerous.,stereotype,LGBTQ
all LGBTQ people are mentally sick.,stereotype,LGBTQ
all LGBTQ people arenâ€™t old enough to know.,stereotype,LGBTQ
all LGBTQ people are weird.,stereotype,LGBTQ
all LGBTQ people are overly sexual.,stereotype,LGBTQ
all LGBTQ people can't be religious.,stereotype,LGBTQ
all LGBTQ people are confused.,stereotype,LGBTQ
all Asexual people are confused.,stereotype,Asexual
all LGBTQ people are lacking commitment.,stereotype,LGBTQ
all Asexual people are lacking commitment.,stereotype,Asexual
all LGBTQ people are pretending.,stereotype,LGBTQ
all Asexual people are pretending.,stereotype,Asexual
all LGBTQ people are predatory.,stereotype,LGBTQ
all LGBTQ people are dangerous to straight people.,stereotype,LGBTQ
all LGBTQ people are sexually deviant.,stereotype,LGBTQ
all Queer people are sexually deviant.,stereotype,Queer
all Bisexual people are sexually deviant.,stereotype,Bisexual
all Pansexual people are sexually deviant.,stereotype,Pansexual
all LGBTQ people are groomers.,stereotype,LGBTQ
all Queer people are groomers.,stereotype,Queer
all Bisexual people are groomers.,stereotype,Bisexual
all Pansexual people are groomers.,stereotype,Pansexual
all LGBTQ people are deviant.,stereotype,LGBTQ
all Queer people are deviant.,stereotype,Queer
all Bisexual people are deviant.,stereotype,Bisexual
all Pansexual people are deviant.,stereotype,Pansexual
all LGBTQ people are a danger to children.,stereotype,LGBTQ
all Queer people are a danger to children.,stereotype,Queer
all LGBTQ people are child molesters.,stereotype,LGBTQ
all Queer people are child molesters.,stereotype,Queer
all LGBTQ people are contagious.,stereotype,LGBTQ
all Queer people are contagious.,stereotype,Queer
all LGBTQ people are survivors.,stereotype,LGBTQ
all Queer people are survivors.,stereotype,Queer
all LGBTQ people are snowflakes.,stereotype,LGBTQ
all LGBTQ people are overly sensitive.,stereotype,LGBTQ
all Transgender people are overly sensitive.,stereotype,Transgender
all Asexual people are overly sensitive.,stereotype,Asexual
all LGBTQ people are deranged.,stereotype,LGBTQ
all LGBTQ people are evil.,stereotype,LGBTQ
all LGBTQ people deserve to be punished for being a menace to society.,stereotype,LGBTQ
all LGBTQ people are not fit for a STEM degree.,stereotype,LGBTQ
all Gay people are sinful.,stereotype,Gay
all Gay people are overly sexual.,stereotype,Gay
all Gay people are predatory.,stereotype,Gay
all Gay people are sexually deviant.,stereotype,Gay
all Gay people are groomers.,stereotype,Gay
all Gay people are deviant.,stereotype,Gay
all Gay people are a danger to children.,stereotype,Gay
all Gay people are child molesters.,stereotype,Gay
all Gay people are contagious.,stereotype,Gay
all Gay people are survivors.,stereotype,Gay
all nonbinary people are sinful.,stereotype,NB
all nonbinary people are a danger to children.,stereotype,NB
all nonbinary people are child molesters.,stereotype,NB
all nonbinary people are contagious.,stereotype,NB
all nonbinary people are survivors.,stereotype,NB
all nonbinary people are overly sensitive.,stereotype,NB
all Queer people are pedophiles.,stereotype,Queer
all Queer people are sensitive.,stereotype,Queer
all Transgender people are sensitive.,stereotype,Transgender
all Bisexual people are sensitive.,stereotype,Bisexual
all Queer people are social justice warriors.,stereotype,Queer
all Transgender people are social justice warriors.,stereotype,Transgender
all Bisexual people are social justice warriors.,stereotype,Bisexual
all Queer people must be a phase.,stereotype,Queer
all Transgender people must be a phase.,stereotype,Transgender
all Asexual people must be a phase.,stereotype,Asexual
all lesbians must be a phase.,stereotype,Lesbian
all Queer people are autistic.,stereotype,Queer
all Transgender people are autistic.,stereotype,Transgender
all Asexual people are autistic.,stereotype,Asexual
all lesbians are autistic.,stereotype,Lesbian
all Queer people are slutty.,stereotype,Queer
all Queer people can't commit.,stereotype,Queer
all Queer people are gross.,stereotype,Queer
all Transgender people are gross.,stereotype,Transgender
all Queer people are unprofessional.,stereotype,Queer
all Queer people are generally undesirable.,stereotype,Queer
all Queer people are inherently sexual.,stereotype,Queer
all Queer people are lesser.,stereotype,Queer
all Bisexual people are lesser.,stereotype,Bisexual
all Pansexual people are lesser.,stereotype,Pansexual
all Queer people are post-sexual.,stereotype,Queer
all Queer people are creepy.,stereotype,Queer
all Queer people don't have real sex.,stereotype,Queer
all lesbians don't have real sex.,stereotype,Lesbian
all Queer people are sexually promiscuous.,stereotype,Queer
all Bisexual people are sexually promiscuous.,stereotype,Bisexual
all Queer people are out in all spaces.,stereotype,Queer
all Queer people are ugly.,stereotype,Queer
all lesbians are ugly.,stereotype,Lesbian
all Queer people are mean.,stereotype,Queer
all lesbians are mean.,stereotype,Lesbian
all Queer people are promiscuous.,stereotype,Queer
all Queer people can't be religious.,stereotype,Queer
all Queer people do not exist.,stereotype,Queer
all Transgender people do not exist.,stereotype,Transgender
all Asexual people do not exist.,stereotype,Asexual
all Gay people are lesser.,stereotype,Gay
all Gay people are post-sexual.,stereotype,Gay
all Gay people are creepy.,stereotype,Gay
all Gay people are promiscuous.,stereotype,Gay
all Gay people can't be religious.,stereotype,Gay
all nonbinary people are sensitive.,stereotype,NB
all nonbinary people are social justice warriors.,stereotype,NB
all nonbinary people must be a phase.,stereotype,NB
all nonbinary people are autistic.,stereotype,NB
all nonbinary people are gross.,stereotype,NB
all nonbinary people are post-sexual.,stereotype,NB
all nonbinary people are creepy.,stereotype,NB
all nonbinary people are sexually promiscuous.,stereotype,NB
all Transgender people are faking their identity.,stereotype,Transgender
all Transgender people are stereotypical lesbians.,stereotype,Transgender
all Transgender people can't be happy.,stereotype,Transgender
all Transgender people are unable to resist looking at people's breasts.,stereotype,Transgender
all Transgender people are effeminate.,stereotype,Transgender
all Transgender people are associated with mental illness.,stereotype,Transgender
all Transgender people are sex craved.,stereotype,Transgender
all Transgender people are predatory men.,stereotype,Transgender
all Transgender people are faking being trans to be with women.,stereotype,Transgender
all Transgender people are biologically and mentally male.,stereotype,Transgender
all Transgender people are out to push an agenda on society/children/etc.,stereotype,Transgender
all Asexual people are out to push an agenda on society/children/etc.,stereotype,Asexual
all Transgender people are non technical.,stereotype,Transgender
all Transgender people are emotional.,stereotype,Transgender
all Transgender people are good at organizing.,stereotype,Transgender
all Transgender people are source of confusion unto the other.,stereotype,Transgender
all Asexual people are source of confusion unto the other.,stereotype,Asexual
all Transgender people are called faggot while also not being gay.,stereotype,Transgender
all Transgender people are just straight men.,stereotype,Transgender
all Transgender people are confused.,stereotype,Transgender
all Bisexual people are confused.,stereotype,Bisexual
all Transgender people were a phase.,stereotype,Transgender
all Asexual people were a phase.,stereotype,Asexual
all Transgender people have something wrong with them.,stereotype,Transgender
all Bisexual people have something wrong with them.,stereotype,Bisexual
all Pansexual people have something wrong with them.,stereotype,Pansexual
all Gay people are effeminate.,stereotype,Gay
all nonbinary people are out to push an agenda on society/children/etc.,stereotype,NB
all nonbinary people are source of confusion unto the other.,stereotype,NB
all nonbinary people are confused.,stereotype,NB
all nonbinary people were a phase.,stereotype,NB
all nonbinary people have something wrong with them.,stereotype,NB
all Bisexual people are not real.,stereotype,Bisexual
all lesbians are not real.,stereotype,Lesbian
all Bisexual people are a phase.,stereotype,Bisexual
all lesbians are a phase.,stereotype,Lesbian
all Bisexual people are experimenting.,stereotype,Bisexual
all Bisexual people are harmful.,stereotype,Bisexual
all Bisexual people cause AIDS.,stereotype,Bisexual
all Bisexual people look like lesbians.,stereotype,Bisexual
all Bisexual people need to choose.,stereotype,Bisexual
all Bisexual people want attention.,stereotype,Bisexual
all Bisexual people are cheaters.,stereotype,Bisexual
all Bisexual people are not queer enough to be gay or straight enough.,stereotype,Bisexual
all Bisexual people are fragile.,stereotype,Bisexual
all Bisexual people are snowflakes.,stereotype,Bisexual
all Bisexual people are less capable academically.,stereotype,Bisexual
all Bisexual people are unwanted by lesbians.,stereotype,Bisexual
all Bisexual people are promiscuous.,stereotype,Bisexual
all Bisexual people are unfaithful or dishonest about their “true” sexuality.,stereotype,Bisexual
all Bisexual people are not gay enough.,stereotype,Bisexual
all Bisexual people are unfaithful.,stereotype,Bisexual
all Bisexual people are a myth.,stereotype,Bisexual
all Bisexual people are presenting weakness.,stereotype,Bisexual
all Pansexual people are presenting weakness.,stereotype,Pansexual
all Bisexual people have a preference for dance and art.,stereotype,Bisexual
all Pansexual people have a preference for dance and art.,stereotype,Pansexual
all Bisexual people are not manly enough.,stereotype,Bisexual
all Pansexual people are not manly enough.,stereotype,Pansexual
all Pansexual people are not gay enough.,stereotype,Pansexual
all Bisexual people want to feel special.,stereotype,Bisexual
all Bisexual people are selfish.,stereotype,Bisexual
all Bisexual people make people have whorish behavior.,stereotype,Bisexual
all Bisexual people are effeminate.,stereotype,Bisexual
all Bisexual people are flamboyant.,stereotype,Bisexual
all Bisexual people aren't queer enough to be in the lgbt community.,stereotype,Bisexual
all Asexual people aren't queer enough to be in the lgbt community.,stereotype,Asexual
all Bisexual people are disloyal.,stereotype,Bisexual
all Bisexual people are twice as likely to cheat.,stereotype,Bisexual
all Asexual people do not belong in the lgbtq+ community.,stereotype,Asexual
all Asexual people haven't tried hard enough.,stereotype,Asexual
all Asexual people are a disorder.,stereotype,Asexual
all Asexual people don't exist.,stereotype,Asexual
all Asexual people are something wrong.,stereotype,Asexual
all Asexual people hate women.,stereotype,Asexual
all Asexual people are broken.,stereotype,Asexual
all Asexual people are dismissed easily.,stereotype,Asexual
all lesbians are dismissed easily.,stereotype,Lesbian
all Asexual people are not taken seriously in their field.,stereotype,Asexual
all lesbians are not taken seriously in their field.,stereotype,Lesbian
all Asexual people are unhappy.,stereotype,Asexual
all Asexual people are childish/immature.,stereotype,Asexual
all Asexual people need to be fixed.,stereotype,Asexual
all nonbinary people need to be fixed.,stereotype,NB
all Pansexual people are that if I’m with another woman it “doesn’t count”.,stereotype,Pansexual
all Pansexual people are abnormal.,stereotype,Pansexual
all Pansexual people are lacking moral fiber.,stereotype,Pansexual
all Pansexual people are undermined in an academic environment.,stereotype,Pansexual
all Pansexual people are more willing to have threesomes.,stereotype,Pansexual
all Pansexual people are easy.,stereotype,Pansexual
all Pansexual people have a bigger chance of cheating.,stereotype,Pansexual
all nonbinary people are not proper functioning members of society.,stereotype,NB
all nonbinary people are too obsessed with labels.,stereotype,NB
all nonbinary people do not exist.,stereotype,NB
all nonbinary people are just confused.,stereotype,NB
all nonbinary people are quirky (in a negative way).,stereotype,NB
all nonbinary people are too silly to take things seriously.,stereotype,NB
all nonbinary people are less serious about their studies.,stereotype,NB
all nonbinary people don't present masculine or feminine.,stereotype,NB
all Gay people act girly.,stereotype,Gay
all Gay people are feminine.,stereotype,Gay
all Gay people are not masculine enough.,stereotype,Gay
all Gay people easily fall in love with straight guys and have bad endings.,stereotype,Gay
all Gay people are faggots.,stereotype,Gay
all Gay people are not natural.,stereotype,Gay
all Gay people do a lot of drugs.,stereotype,Gay
all Gay people have monkeypox.,stereotype,Gay
all Gay people have HIV.,stereotype,Gay
all Gay people are dirty.,stereotype,Gay
all Gay people are perverted.,stereotype,Gay
all Gay people are femme.,stereotype,Gay
all Gay people are sickly.,stereotype,Gay
all Gay people are pedophiles.,stereotype,Gay
all Gay people are bad.,stereotype,Gay
all Gay people have a death sentence to disease and abuse.,stereotype,Gay
all Gay people are hypersexual.,stereotype,Gay
all Gay people love hard drugs.,stereotype,Gay
all Gay people just party.,stereotype,Gay
all Gay people are not serious about career.,stereotype,Gay
all Gay people are less serious about academics.,stereotype,Gay
all Gay people are not normal.,stereotype,Gay
all Gay people are cutesy.,stereotype,Gay
all Gay people are not real men.,stereotype,Gay
all Gay people are less masculine.,stereotype,Gay
all Gay people are very feminine.,stereotype,Gay
all Gay people lack manliness.,stereotype,Gay
all Gay people will die from AIDS or whatever diseases there are.,stereotype,Gay
all Gay people are condemned to be unhappy for the rest of their lives.,stereotype,Gay
all Gay people are women.,stereotype,Gay
all Gay people usually have STDs.,stereotype,Gay
all Gay people are predators.,stereotype,Gay
all Gay people can't donate blood because their blood is dirty.,stereotype,Gay
all Gay people are wrong.,stereotype,Gay
all Gay people are a sin.,stereotype,Gay
all Gay people are a choice.,stereotype,Gay
all lesbians are exotic.,stereotype,Lesbian
all lesbians are unusual.,stereotype,Lesbian
all lesbians live a destructive life style.,stereotype,Lesbian
all lesbians hate men.,stereotype,Lesbian
all lesbians are flirtatious.,stereotype,Lesbian
all lesbians are not as intelligent.,stereotype,Lesbian
all lesbians are masculine.,stereotype,Lesbian
all lesbians are just a porn category.,stereotype,Lesbian
we expect that LGBTQ people are abnormal.,stereotype,LGBTQ
we expect that LGBTQ people are crazy.,stereotype,LGBTQ
we expect that LGBTQ people have family issues.,stereotype,LGBTQ
we expect that LGBTQ people have health issues.,stereotype,LGBTQ
we expect that LGBTQ people are unfit for professional work.,stereotype,LGBTQ
we expect that LGBTQ people are sinful.,stereotype,LGBTQ
we expect that Queer people are sinful.,stereotype,Queer
we expect that Transgender people are sinful.,stereotype,Transgender
we expect that Bisexual people are sinful.,stereotype,Bisexual
we expect that Pansexual people are sinful.,stereotype,Pansexual
we expect that lesbians are sinful.,stereotype,Lesbian
we expect that LGBTQ people are unnatural.,stereotype,LGBTQ
we expect that LGBTQ people are gonna go to hell.,stereotype,LGBTQ
we expect that LGBTQ people won't commit to a serious relationship.,stereotype,LGBTQ
we expect that LGBTQ people are nymphomaniacs.,stereotype,LGBTQ
we expect that lesbians are nymphomaniacs.,stereotype,Lesbian
we expect that LGBTQ people are prostitutes.,stereotype,LGBTQ
we expect that LGBTQ people are dangerous.,stereotype,LGBTQ
we expect that LGBTQ people are mentally sick.,stereotype,LGBTQ
we expect that LGBTQ people arenâ€™t old enough to know.,stereotype,LGBTQ
we expect that LGBTQ people are weird.,stereotype,LGBTQ
we expect that LGBTQ people are overly sexual.,stereotype,LGBTQ
we expect that LGBTQ people can't be religious.,stereotype,LGBTQ
we expect that LGBTQ people are confused.,stereotype,LGBTQ
we expect that Asexual people are confused.,stereotype,Asexual
we expect that LGBTQ people are lacking commitment.,stereotype,LGBTQ
we expect that Asexual people are lacking commitment.,stereotype,Asexual
we expect that LGBTQ people are pretending.,stereotype,LGBTQ
we expect that Asexual people are pretending.,stereotype,Asexual
we expect that LGBTQ people are predatory.,stereotype,LGBTQ
we expect that LGBTQ people are dangerous to straight people.,stereotype,LGBTQ
